dim,Exact,Folded,d_1,Circulant,d_2
10 x 10,  6.86ms, 2.42ms,2.84x, 4.48ms,1.53x
20 x 20, 15.42ms, 7.64ms,2.02x,10.28ms,1.5x
30 x 30, 35.02ms,12.13ms,2.89x,18.43ms,1.9x
40 x 40, 75.03ms,19.43ms,3.86x,27.25ms,2.75x
50 x 50,150.24ms,28.68ms,5.24x,38.74ms,3.88x
60 x 60,284.12ms,40.26ms,7.06x,53.3ms,5.33x
70 x 70,485.3ms,54.8ms,8.86x,71.98ms,6.74x
80 x 80,754.37ms,74.66ms,10.1x,94.37ms,7.99x
